filename,eyelid_top,eyelid_top_rotate,eyelid_bottom,eyelid_bottom_rotate,iris_size,pupil_size,eye_look_x,eye_look_y,eyebrow_center_y,eyebrow_center_x,eyebrow_scale,eyebrow_rotate,eyebrow1,eyebrow2,eyebrow30,eyebrow4,eyebrow5,eyebrow6
sad_02.jpg,0.47,1,0,0,0.721,0.5,0.516,-0.601,-0.031,-0.316,0.5,40,0.1,-0.0806,0,-0.15,-0.1,-0.1
sad_03.jpg,0.829,0,0,0,0.5,0.5,0.755,0.658,0,-0.276,0.5,30,0.1,-0.1,0.1,-0.2,-0.1769,-0.1
sad_04.jpg,1,1,0,0,0.291,0.268,0.823,-0.578,-0.083,-0.276,0.5,30,0.2,0.055,-0.0732,-0.0709,-0.1701,0.1
sad_05.jpg,0.63,1,-0.316,-0.379,0.328,0.311,0.134,0.829,0.043,-0.288,0.5,35,0.1,-0.0852,-0.055,-0.1026,-0.1453,0.1
sad_06.jpg,0.829,1,0,0,0.308,0.268,0.783,0.783,0,-0.168,0.5,30,0.1,-0.1,-0.0709,-0.1402,-0.1436,-0.1
sad_07.jpg,0,0,-0.687,-1,0.712,0.558,-0.499,-0.698,0,-0.094,0.5,45,0.1,-0.1,0.0236,-0.2,-0.1479,-0.1
sad_08.jpg,0.681,0,-0.652,0,0.279,0.265,0.134,0.88,0,0.003,0.5,25,0.0567,-0.0185,-0.0328,-0.1624,-0.1368,-0.0692
sad_09.jpg,1,0,0,0,0.744,0.5,0.863,-0.214,-0.214,0,0.5,32,0.0681,-0.0009,-0.0094,-0.1333,-0.0504,0.0709
sad_010.jpg,0.379,1,-0.858,0,0.729,0.5,-0.55,0.726,-0.162,-0.453,0.5,60,0.1,-0.1,0.0692,-0.2,-0.1479,0.0778
neutral_01.jpg,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0,-0.15,-0.1,-0.1
neutral_02.jpg,0.214,0.362,0,0,0.5,0.5,0,0,0,0,0.5,0,0.0652,-0.0003,-0.0123,-0.1479,-0.0009,0.0145
neutral_03.jpg,0.214,0,-0.208,0,0.5,0.5,0,0.499,0.083,0.105,0.5,-7.6,0,0,0,-0.15,-0.1,-0.1
neutral_04.jpg,0.527,1,0,0,0.5,0.5,-0.299,0.601,0,-0.083,0.5,15,0.043,0,0,-0.15,-0.1111,0.1
neutral_05.jpg,0.396,1,-0.413,-0.573,0.5,0.5,-0.396,0.573,0,0,0.5,9.6,0.0601,0,0,-0.15,-0.1462,-0.1
neutral_06.jpg,0.709,0.664,0,0,0.373,0.37,0.504,-0.658,0,0,0.5,11.7,0.0709,-0.0094,-0.035,-0.1821,-0.0556,-0.0316
neutral_07.jpg,0,0,0,0,0.339,0.359,-0.613,-0.613,-0.157,-0.048,0.5,25,0.0635,0,0,-0.1128,0.0427,0.0786
neutral_08.jpg,0.333,0,0,0,0.655,0.5,-0.219,0.607,0.111,0,0.5,5.9,0.0556,0,0,-0.1291,0.0248,0.0436
neutral_09.jpg,0,0,0,0,0.302,0.299,0.447,0.709,0.003,0.037,0.5,2.1,0.1,0.0162,-0.0088,-0.1538,-0.0222,0.059
neutral_010.jpg,0,0,-0.368,0,0.5,0.5,-0.732,0.362,0,-0.14,0.5,16.6,0.0858,0.0037,-0.0368,-0.23,-0.1316,-0.1359
